CCE19CS001, HUT200(B), MCN202(A+), MAT206(B), CST202(F), CST204(F), CST206(F), CSL202(A+), CSL204(A+)
CCE19CS002, HUT200(S), MCN202(S), MAT206(S), CST202(A+), CST204(S), CST206(A+), CSL202(S), CSL204(S)
CCE19CS003, HUT200(S), MCN202(A+), MAT206(S), CST202(B+), CST204(A+), CST206(S), CSL202(S), CSL204(A+)
CCE19CS004, HUT200(S), MCN202(B+), MAT206(A), CST202(C), CST204(C+), CST206(C), CSL202(A), CSL204(A+)
CCE19CS005, HUT200(A+), MCN202(A), MAT206(S), CST202(C+), CST204(S), CST206(S), CSL202(A+),CSL204(A+)
CCE19CS006, HUT200(S), MCN202(S), MAT206(S), CST202(B+), CST204(S), CST206(C), CSL202(S), CSL204(S)
CCE19CS007, HUT200(C+), MCN202(A+), MAT206(S), CST202(C), CST204(A), CST206(C), CSL202(S), CSL204(S)
CCE19CS008, HUT200(B), MCN202(B+), MAT206(S), CST202(P), CST204(B), CST206(A+), CSL202(S), CSL204(S)
CCE19CS009, HUT200(F), MCN202(C+), MAT206(C+), CST202(F), CST204(P), CST206(D), CSL202(S), CSL204(A+)
CCE19CS010, HUT200(A+), MCN202(A), MAT206(S), CST202(A), CST204(S), CST206(S), CSL202(S), CSL204(S)
CCE19CS011, HUT200(C+), MCN202(C+), MAT206(S), CST202(P), CST204(A+), CST206(A), CSL202(S), CSL204(S)
CCE19CS012, HUT200(B+), MCN202(C), MAT206(Absent), CST202(D), CST204(B), CST206(B+), CSL202(S), CSL204(S)
CCE19CS013, HUT200(C), MCN202(B+), MAT206(B), CST202(F), CST204(D), CST206(P), CSL202(A+), CSL204(A+)
CCE19CS014, HUT200(C), MCN202(B+), MAT206(S), CST202(D), CST204(C+), CST206(P), CSL202(A+), CSL204(A+)
CCE19CS015, HUT200(A+), MCN202(S), MAT206(S), CST202(S), CST204(S), CST206(S), CSL202(S), CSL204(S)
CCE19CS016, HUT200(A), MCN202(C), MAT206(S), CST202(B+), CST204(A+), CST206(C+), CSL202(S), CSL204(S)
CCE19CS017, HUT200(A), MCN202(A), MAT206(S), CST202(B+), CST204(A), CST206(S), CSL202(S), CSL204(S)
CCE19CS018, HUT200(B+), MCN202(A), MAT206(S), CST202(D), CST204(A+), CST206(B+), CSL202(S), CSL204(A+)
CCE19CS019, HUT200(A), MCN202(B+), MAT206(S), CST202(A), CST204(S), CST206(A+), CSL202(S), CSL204(S)
CCE19CS020, HUT200(A+), MCN202(A), MAT206(A), CST202(C), CST204(A), CST206(A), CSL202(S), CSL204(S)
CCE19CS021, HUT200(P), MCN202(P), MAT206(A), CST202(P), CST204(C), CST206(D), CSL202(S), CSL204(S)
CCE19CS022, HUT200(A), MCN202(S), MAT206(A+), CST202(B), CST204(A), CST206(B+), CSL202(S), CSL204(A+)
CCE19CS023, HUT200(S), MCN202(A), MAT206(S), CST202(B), CST204(S), CST206(A+), CSL202(A+), CSL204(A+)
CCE19CS024, HUT200(A+), MCN202(A+), MAT206(S), CST202(B), CST204(S), CST206(A), CSL202(S), CSL204(S)
CCE19CS025, HUT200(A), MCN202(S), MAT206(S), CST202(B+), CST204(B), CST206(A), CSL202(S), CSL204(S)
CCE19CS026, HUT200(A+), MCN202(S), MAT206(S), CST202(C), CST204(P), CST206(B), CSL202(S), CSL204(S)
CCE19CS027, HUT200(S), MCN202(A), MAT206(S), CST202(B+), CST204(S), CST206(B), CSL202(S), CSL204(S)
CCE19CS029, HUT200(S), MCN202(S), MAT206(S), CST202(A+), CST204(S), CST206(S), CSL202(S), CSL204(S)
CCE19CS030, HUT200(A+), MCN202(C), MAT206(A+), CST202(B+), CST204(B), CST206(D), CSL202(S), CSL204(A+)
CCE19CS031, HUT200(S), MCN202(A+), MAT206(A), CST202(C+), CST204(B), CST206(A), CSL202(S), CSL204(A+)
CCE19CS032, HUT200(B+), MCN202(B+), MAT206(S), CST202(S), CST204(S), CST206(A+), CSL202(S), CSL204(S)
CCE19CS034, HUT200(A), MCN202(B+), MAT206(S), CST202(B), CST204(A), CST206(C+), CSL202(S), CSL204(S)
CCE19CS035, HUT200(A+), MCN202(C+), MAT206(C+), CST202(B), CST204(A), CST206(B+), CSL202(S), CSL204(S)
CCE19CS036, HUT200(S), MCN202(S), MAT206(S), CST202(S), CST204(S), CST206(S), CSL202(S), CSL204(S)
CCE19CS037, HUT200(S), MCN202(A), MAT206(S), CST202(S), CST204(A), CST206(A+), CSL202(S), CSL204(S)
CCE19CS038, HUT200(A+), MCN202(C+), MAT206(B+), CST202(F), CST204(C+), CST206(C), CSL202(S), CSL204(S)
CCE19CS039, HUT200(B+), MCN202(B+), MAT206(B), CST202(P), CST204(D), CST206(P), CSL202(A), CSL204(A)
CCE19CS040, HUT200(B+), MCN202(A), MAT206(S), CST202(C+), CST204(A+), CST206(S), CSL202(S), CSL204(S)
CCE19CS041, HUT200(A+), MCN202(S), MAT206(S), CST202(S), CST204(A+), CST206(A+), CSL202(S), CSL204(S)
CCE19CS042, HUT200(B+), MCN202(B+), MAT206(A), CST202(B), CST204(D), CST206(C), CSL202(A+), CSL204(A+)
CCE19CS043 ,HUT200(A+), MCN202(C), MAT206(S), CST202(A+), CST204(A), CST206(S), CSL202(S), CSL204(S)
CCE19CS044 ,HUT200(B), MCN202(C+), MAT206(B), CST202(F), CST204(B), CST206(A), CSL202(A+), CSL204(A+)
CCE19CS045 ,HUT200(A), MCN202(A), MAT206(S), CST202(C+), CST204(A+), CST206(A+), CSL202(S), CSL204(S)
CCE19CS046 ,HUT200(S), MCN202(A), MAT206(A+), CST202(C+), CST204(A), CST206(B+), CSL202(A+), CSL204(A+)
CCE19CS047 ,HUT200(A+), MCN202(D), MAT206(C+), CST202(F), CST204(P), CST206(C), CSL202(A+), CSL204(A+)
CCE19CS048 ,HUT200(B), MCN202(A), MAT206(D), CST202(F), CST204(P), CST206(C), CSL202(S), CSL204(S)
CCE19CS049 ,HUT200(S), MCN202(B+), MAT206(C+), CST202(F), CST204(P), CST206(D), CSL202(S), CSL204(S)
CCE19CS050, HUT200(A+), MCN202(C+), MAT206(A), CST202(P), CST204(A), CST206(B), CSL202(S), CSL204(A+)
CCE19CS051, HUT200(S), MCN202(S), MAT206(S), CST202(S), CST204(S), CST206(S), CSL202(S), CSL204(S)
CCE19CS052, HUT200(S), MCN202(S), MAT206(A), CST202(C+), CST204(B+), CST206(C+), CSL202(S), CSL204(S)
CCE19CS053, HUT200(S), MCN202(A), MAT206(S), CST202(B), CST204(S), CST206(A+), CSL202(S), CSL204(S)
CCE19CS054, HUT200(B+), MCN202(B+), MAT206(C), CST202(P), CST204(P), CST206(P), CSL202(A+), CSL204(A)
CCE19CS055, HUT200(B+), MCN202(B+), MAT206(B), CST202(A), CST204(B+), CST206(B), CSL202(A+), CSL204(A)
CCE19CS056, HUT200(A), MCN202(B+), MAT206(A), CST202(C+), CST204(B+), CST206(C+), CSL202(S), CSL204(S)
CCE19CS057, HUT200(A+), MCN202(C), MAT206(B+), CST202(C+), CST204(B), CST206(P), CSL202(S), CSL204(S)
CCE19CS058, HUT200(A), MCN202(S), MAT206(B+), CST202(C), CST204(A), CST206(B+), CSL202(S), CSL204(S)
CCE19CS059, HUT200(A), MCN202(A), MAT206(S), CST202(B+), CST204(A), CST206(S), CSL202(S), CSL204(S)
CCE19CS060, HUT200(B), MCN202(D), MAT206(B), CST202(D), CST204(B), CST206(B+), CSL202(A+), CSL204(A+)
CCE19CS061, HUT200(A), MCN202(B+), MAT206(A), CST202(C), CST204(B), CST206(C+), CSL202(A), CSL204(A+)
CCE19CS062, HUT200(B+), MCN202(B+), MAT206(B+), CST202(C), CST204(A+), CST206(A+), CSL202(A), CSL204(A+)
CCE19CS063, HUT200(B), MCN202(F), MAT206(A), CST202(P), CST204(B), CST206(C+), CSL202(A+), CSL204(A+)